File,Summary,Description - Test Setup,Description - Configuration,Description - Verification,Expected Result
$SDK/src/examples/xgs/TD3/mpls/vpls_sdtag.c," This Cint example to show configuration of VPLS with SD-TAG functional
 scenario using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPLS with SD-TAG functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with single TAG (0x8100600B) on access port.
 Also send a MPLS Tunnel packet with inner payload's TAG as 0x91006001)
 on network port. The contents of the packet are printed on screen.
 "," We can see that VPLS tunnel initiation with inner payload's TAG as
 0x91006001 (Translated/Replaced) flows out of network_port for
 incoming TAG 0x8100600B packet on access port and we are sending MPLS
 Tunnel packet with inner payload's TAG as 0x91006001 on network port
 and we can see that VPLS tunnel terminates on network/provider port
 and inner payload's TAG is translted back to 0x8100600B & goes out
 of access port. Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_ac2ac.c," This Cint example to show configuration of (L2 MPLS) VPWS tunnel access_port
 to access_port scenario flows using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port1 and the other as
 access_port2.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS access port to access port flow scenario and
 does the necessary configurations of vlan and VP interface.
 "," a) Transmit the untaged/single tagged L2 packet to access_port (both 
 directions) and observe the local L2 switching based on VPWS VPN 
 "," We can see that Local L2 switching is done using VPWS VPN id between 
 access ports and observe that no change in L2 header for both untagged
 and tagged packets in any direction i.e from access_port1 to access_port2
 and vice-versa. 
 Note that, switching is done using VP flow based (no mac learning).
"
$SDK/src/examples/xgs/TD3/mpls/vpws_frr.c," This Cint example to show configuration of VPWS with failover/protection
 switching mechanism using BCM APIs.
 "," a) Selects three ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_ports (primary & backup).
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS Tunnel initiation/termination flow with failover
 functional scenario and does the necessary configurations of vlan,
 interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with single VLAN on access port, then set
 the failoverId and resend the same customer packet on access port.
 The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_primary_port
 (primary-path) for the first packet and after setting failoverId,
 egress traffic switchovers to network_backup_port (backup-path).
 The contents of the packet are printed on screen.
 Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/l3_mpls_init_frr.c," This Cint example to show configuration of the L3 MPLS VPN initiation with
 failover scenario using BCM APIs.
 "," a) Selects three ports and configure them in Loopback mode. Out of these
 three ports, one port is used as ingress_port and the other as
 egress_ports (primary & backup).
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel Initiation functional scenario with
 failover and does the necessary configurations of vlan, interface,
 next hop and Tunnel + VC labels.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'l3 defip show'
  b) Transmit the known IPv4 unicast packet. The contents of the packet
 are printed on screen. The packet used matches the route configured
 through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and also Tunnel + VC labels are PUSHed
 as part of tunnel initiation on egress port. Also run the
 'l3 defip show' to check the HIT bit status (y i.e Yes) and 'show c'
 to check the Tx/Rx packet stats/counters. And also, we can see failover
 _failover_set or
 _failover_egress_status_set and observe that packet is routed to
 backup path/tunnel.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_match_range.c," This Cint example to show configuration of VPWS with match range of
 VLANs at customer/access port using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS with match range of VLANs functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with match range VLANs from 11 to 20
 on customer/access port. The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_port for
 any incoming VLAN range from 11 to 20. Example, we are sending with
 VLAN 11, 12 & 20 on customer/access port. Also we can see that VPWS
 tunnel terminates on network/provider port and goes out of access port.
 Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_cw.c," This Cint example to show configuration of (L2 MPLS) VPWS tunnel initiation
 and termination flows with control-word using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS Tunnel initiation/termination with control-word
 scenario and does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet on access_port and Transmit the provider
 /tunneled packet with control-word on network_port. The contents of
 the packet are printed on screen.
 "," We can see that VPWS tunnel initiation with control-word flows out of
 network_port and also VPWS tunnel terminates, and customer packet
 flows out of access_port. The contents of the packet are printed on
 screen. Also run the 'show c' to check the Tx/Rx packet stats/counters.
 "
$SDK/src/examples/xgs/TD3/mpls/lsr_trunk.c," This Cint example to show configuration of L3 MPLS tunnel LSR with trunk
 using BCM APIs.
 "," a) Selects five ports and configure them in Loopback mode. Out of these
 five ports, one port is used as ingress_port and the other as
 egress_ports(trunk egress members).
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel Swap with Trunk functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS packet. The contents of the packet are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and observe that each time, the outgoing
 packet use a different trunk member port. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpls_hierarchy_qw.c," This Cint example to show configuration of H-VPLS tunnel with MPLS/ spoke
 and hub with PW scenario using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port/spoke and the other as
 network_port/hub.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic H-VPLS Tunnel with MPLS scenario/ spoke PW & Hub
 Backbone scenario and does the necessary configurations of vlan,
 interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS packet with on access_port/spoke and also on
 network_port. The contents of the packet are printed on screen.
 "," We can see that MPLS/VPLS tunneled packet flows out of hub port and also
 in reverse direction from hub to spoke port. The contents of the packet
 are printed on screen. Also run the 'show c' to check the Tx/Rx packet
 stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/l3_mpls_init.c," This Cint example to show configuration of L3 MPLS tunnel initiation using
 BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel Initiation functional scenario and
 does the necessary configurations of vlan, interface, next hop and
 Tunnel + VC labels.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'l3 defip show'
  b) Transmit the known IPv4 unicast packet. The contents of the packet
 are printed on screen. The packet used matches the route configured
 through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and also Tunnel + VC labels are pushed
 as part of tunnel initiation on egress port. Also run the
 'l3 defip show' to check the HIT bit status (y i.e Yes) and 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/l3_mpls_vpn_pop_qos.c," This Cint example to show configuration of L3 MPLS tunnel termination
 with QoS using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel termination functional scenario and
 does the necessary configurations of vlan, interface, next hop and
 Tunnel + VC labels with POP action.
 b) COnfigure a QoS remapping from incoming packet EXP to internal priority.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'l3 defip show'
  b) Transmit the MPLS packet with TWO labels & EXP as 3. The contents
 of the packet are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port after Tunnel + VC labels are POPed
 as part of tunnel termination on ingress port. We can observe that
 exp is mapped to CoS 3 and int_proi as 6 on egress side. Also run the
 'l3 defip show' to check the HIT bit status (y i.e Yes) and 'show c'
 to check the Tx/Rx packet stats/counters.
"
